SOLD_MONTH,CITY,ZIP,PRICE,BEDS,BATHS,SQUAREFEET,LOTSIZE,YEARBUILT,Price_per_sqrt,MLS,LATITUDE,LONGITUDE,HOUSE_DES
4/1/2022,Carrollton,75007,499900,4,2.5,2386,8973,1978,210,20001789,32.9914783,-96.9166788,"Gorgeous custom home in Nottingham estates! Newly updated home with metal roof, extensive wide plank hardwood floors, kitchen, HVAC, HW, pool motor in the last 3 years! Lovely formal dining room, exceptional family room with wood paneling, wood fireplace, gourmet kitchen with granite top, white cabs, top of the line SS Kitchen Aid appliances, convection microwave, oven & 5 burner gas cooktop. Perfect play room (sun room). Fantastic backyard with sparkling pool & water fall. 2 garages+covered parking & storage shed. Shows immaculately!"
3/1/2022,Carrollton,75007,310000,3,2,1580,8625,1973,196,20002846,32.9932838,-96.8861303,"MULTIPLE OFFERS RECEIVED: Best and final by Sunday, March 6 at 5 pm. A beautiful fully updated single story home with wood vinyl planks throughout the home. A fully renovated kitchen with a SS Bosch drop in stove with a warming tray and vent hood. New updated soft close Ikea cabinets with matching super quiet dishwasher. A built in pantry and a 11 x 11 bonus room with closet and vented for air & heat. A new roof and 50 gallon quick recovery hot water heater in 2019 and fresh updated paint throughout the home. The bathrooms were fully updated with new floor, new tile, new toilets and beautiful cabinetry. & medicine cabinets. The yard includes a pecan tree, fig tree, pear tree, Oleander bush & red bud, herb garden with various spices and spinach, and a very rare moon tree that only blooms at night. Included is a 10 x 12 shed. French doors open ups to the covered patio. Easy access to shopping, parks, restaurants and the George Bush Tollway, and DFW Airport."
3/1/2022,Carrollton,75007,305000,3,2,1862,8494,1977,164,14749254,33.0150103,-96.8905432,"*PRIME LOCATION* Located Very close to Shops, Restaurants, Entertainment, Major Highways and Airports! Catch this Opportunity Quickly! Bring all your Creative Designs! Great curb appeal with Large Trees! This Home offers 3 bedrooms, 2 Full bathrooms and REAR 2 car garage, Open concept Floor Plan Flooded with Natural Light! Has been Partially Renovated! Don't forget to ask me about the SECRET DOOR! A Remarkable find ready for the new owners touches!"
5/1/2022,Carrollton,75007,450000,4,2.5,2338,5881,1995,192,20026834,33.0121045,-96.9287074,"Offer Deadline Monday 4.18.22 at noon. Here is a chance to own a 4 bedroom, 2.5 bathroom home situated on a quiet cul de sac with an incredible lake view! The two-story entry hall welcomes you in to this meticulously maintained home. The island kitchen has an abundance of counter space, stainless steel appliances and is open to the family room. Retreat to the primary bedroom featuring a generous closet and en suite bathroom boasting a jacuzzi tub, newly updated oversized shower, and two sinks. The backyard is a relaxing oasis with water views, gorgeous rose bushes, and private trail access to the Lake and community playground. Located close to Indian Creek Golf Club, shopping, dining, and Sam Rayburn Tollway! You can't beat the convenience of this location!"
8/1/2022,Carrollton,75007,540000,4,3,2231,9087,1978,242,20123474,32.9944971,-96.9107885,"Meticulously maintained home in the sought-after Nottingham Estates! Remodeled kitchen features shaker cabinets, granite countertops, and luxury Thor range. Enjoy your outdoor oasis with heated pool and spa, diving board, 20x30 covered patio and detached pergola with built-in bar table. Fourth bedroom is currently being used as a study. Beautiful large picture window in the formal dining looks out to your manicured front lawn and landscape. Large shed located on side yard for additional storage. AC and roof replaced 2018, garage door and water heater replaced 2021, carpet replaced 2022, and more! Minutes to shopping, restaurants, and PGB!"
5/1/2022,Carrollton,75007,439000,4,2.5,2442,7536,1991,180,20021308,32.9986966,-96.9190183,"Beautiful one story home in Timbercreek Estates. Wait until you see the backyard bloom! It's gorgeous! You'll love the natural light and stunning tigerwood floors as you enter! Formal living area has french doors to your covered front patio to relax and enjoy the neighborhood. The kitchen is a cooks dream! Beautiful granite counters, brick tile backsplash, island, and Exceptional custom built storage! The island is full of storage and has hidden trash cabinet and spice pullout cabinets. The master bedroom is huge and features a gorgeous master bath that you won't want to leave. It features a Seamless shower and soaking tub. The main living area has fireplace and looks out to your back yard. The pride in these gardens will surely impress. Nice established neighborhood with new triails planned. Roof is 3.5 years old. Exellent locationt, easy to get onto 35 or the turnpike. **Multiple Offers received. Best and Final due Sunday at 7pm."
4/1/2022,Carrollton,75007,325000,3,2,1671,8668,1983,194,14764249,33.0059802,-96.9010633,"Multiple Offer Deadline Monday 7th at 2PM! Nestled in a quiet neighborhood in the heart of Carrollton, this inviting home has an open layout with grey and neutral tones throughout. Living room has tall ceilings, a modern white fireplace, and a lots of natural light from windows overlooking the backyard! The Kitchen has lots of storage space, and is tucked between the formal dining (or flex space) and breakfast nook. The spacious master bedroom has a raised ceiling, His n Hers split master bathroom with separate sinks and closets, and private entrance to the back patio. Large backyard and patio perfect for entertaining or enjoying a peaceful, private setting. Fridge is negotiable. HVAC replaced May 2020. Foundation repair Feb 2022 with lifetime transferable warranty. Per seller, house is on powergrid that doesn't lose power. Close to rec and aquatics centers, walking distance to elementary and middle schools. Easy access to major highways, shopping and public parks. Don't miss this one!"
3/1/2022,Carrollton,75007,345000,3,2.5,1641,6387,1983,210,14757382,33.0154557,-96.8689635,"Come experience this wonderful home offering the BEST of indoor-outdoor Living. This well-maintained home exhibits full pride of ownership. Offering updated electrical, HVAC, hot water heater and gutters this home offers a move-in ready experience. Two closets and jetted tub in the master offer a tranquil retreat. Open concept living, dining and kitchen provide ample room for gatherings and a separate area for the secondary bedrooms offers privacy for everyone. All of this would be amazing, but wait there's more, over 750 sq. ft of outdoor living space. From a lounge-patio area in the front to a full wrap around porch in the back. Come see this stunner and fall in love!"
2/1/2023,Carrollton,75007,250000,3,2,1862,12327,1973,134,20250812,33.0026418,-96.877469,"Multiple offers received!!! Welcome to this fully remodeled home with a solid system backbone. Almost everything in the house is new. Fresh paint throughout, luxury SPC flooring, new cabinets, and countertops. Decorative wall with open floor plan. The backyard offers so much space for outdoor activities or a kids' playground. This house brings in an open style with cozy designs. No matter whether you are a family-focused user or a party animal, this house has something for you. The Cedar fence was replaced in 2012, Trane AC and furnace were replaced in 2017. Metal roof in 2015. The tankless water heater was replaced in Dec 2021. It won't last long!"
6/1/2022,Carrollton,75007,499999,3,2,2103,6752,2000,238,20065257,33.0183043,-96.8927225,Adorable single story home in the lovely Homestead neighborhood. Lots of character in this spacious and extremely well maintained 3 bedroom home. Fabulous updates in master bath with a spacious master bedroom. Lovely covered patio area. Beautifully manicured lawn. Extra large 3 car garage. HOA mows the front lawn. No survey available. All information stated herin is believed to be accurate but should be verified by Buyer. See document storage for offer suggestions and Seller's Disclosure.
